date,amount_minor,counterparty,reference
2026-05-02,-12000,Study Supplies,BP-MAY-001
2026-05-03,-8400,Tutor Travel,BP-MAY-002
2026-05-04,36000,Parent Portal,BP-MAY-003
2026-05-05,-5600,Learning Print,BP-MAY-004
2026-05-06,-14000,Venue Hire,BP-MAY-005
2026-05-07,-7200,Tutor Travel,BP-MAY-006
2026-05-08,28000,Parent Portal,BP-MAY-007
2026-05-09,-9900,Learning Print,BP-MAY-008
2026-05-10,-10800,Tutor Travel,BP-MAY-009
2026-05-11,44000,Parent Portal,BP-MAY-010
2026-05-12,-13200,Study Supplies,BP-MAY-011
2026-05-13,-6400,Venue Hire,BP-MAY-012
2026-05-14,32000,Parent Portal,BP-MAY-013
2026-05-15,-4500,Learning Print,BP-MAY-014
2026-05-16,-10500,Tutor Travel,BP-MAY-015
2026-05-17,50000,Parent Portal,BP-MAY-016
2026-05-18,-6700,Study Supplies,BP-MAY-017
2026-05-19,-8700,Venue Hire,BP-MAY-018
2026-05-20,39000,Parent Portal,BP-MAY-019
2026-05-21,-9300,Tutor Travel,BP-MAY-020
2026-05-22,-11800,Study Supplies,BP-MAY-021
2026-05-23,41000,Parent Portal,BP-MAY-022
2026-05-24,-7600,Learning Print,BP-MAY-023
2026-05-25,-6100,Venue Hire,BP-MAY-024
2026-05-26,-14400,Learning Print,INV-118
2026-05-27,-9500,Personal Outfitters,BP-PERSONAL
2026-05-27,-48000,Tutor Travel,BP-MISSING
2026-05-28,-12000,Tutor Travel,BP-INJECTION
